Date,Sales Value,Type of Sales
2012-06-01,478760.84,Historical
2012-07-01,437128.7,Historical
2012-08-01,350855.8,Historical
2012-09-01,299339.97,Historical
2012-10-01,298474.5,Historical
2012-11-01,310637.56,Historical
2012-12-01,319873.21,Historical
2013-01-01,261617.34,Historical
2013-02-01,259163.86,Historical
2013-03-01,309110.89,Historical
2013-04-01,295883.71,Historical
2013-05-01,328755.22,Historical
2013-06-01,365335.05,Historical
2013-07-01,385666.14,Historical
2013-08-01,327057.15,Historical
2013-09-01,307252.91,Historical
2013-10-01,271274.83,Historical
2013-11-01,298918.38,Historical
2013-12-01,326661.75,Historical
2014-01-01,356052.04,Historical
2014-02-01,365502.82,Historical
2014-03-01,406435.93,Historical
2014-04-01,385989.2,Historical
2014-05-01,456609.46,Historical
2014-06-01,425035.63,Historical
2014-07-01,419468.84,Historical
2014-08-01,358466.89,Historical
2014-09-01,307129.89,Historical
2014-10-01,334505.06,Historical
2014-11-01,325741.1,Historical
2014-12-01,318240.54,Historical
2015-01-01,291402.87,Historical
2015-02-01,286517.98,Historical
2015-03-01,359525.29,Historical
2015-04-01,323060.15,Historical
2015-05-01,390772.23,Historical
2015-06-01,421951.09,Historical
2015-07-01,379642.09,Historical
2015-08-01,353052.98,Historical
2015-09-01,339641.01,Historical
2015-10-01,341051.31,Historical
2015-11-01,365319.23,Historical
2015-12-01,358605.63,Historical
2012-03-01,260862.88,Historical
2012-04-01,262778.76,Historical
2012-05-01,300510.2,Historical
2012-06-01,299495.2,Historical
2012-07-01,307068.08,Historical
2012-08-01,264959.08,Historical
2012-09-01,234225.54,Historical
2012-10-01,222817.54,Historical
2012-11-01,228078.87,Historical
2012-12-01,233370.71,Historical
2013-01-01,219259.84,Historical
2013-02-01,210994.99,Historical
2013-03-01,239412.78,Historical
2013-04-01,228623.67,Historical
2013-05-01,247593.07,Historical
2013-06-01,256007.62,Historical
2013-07-01,275121.12,Historical
2013-08-01,229299.59,Historical
2013-09-01,210580.66,Historical
2013-10-01,194018.04,Historical
2013-11-01,207275.42,Historical
2013-12-01,211498.67,Historical
2014-01-01,217942.79,Historical
2014-02-01,197494.7,Historical
2014-03-01,220793.27,Historical
2014-04-01,209409.58,Historical
2014-05-01,240409.95,Historical
2014-06-01,239889.97,Historical
2014-07-01,235664.92,Historical
2014-08-01,223846.93,Historical
2014-09-01,193584.92,Historical
2014-10-01,204626.63,Historical
2014-11-01,201517.55,Historical
2014-12-01,195792.64,Historical
2015-01-01,199826.06,Historical
2015-02-01,187528.79,Historical
2015-03-01,234486.44,Historical
2015-04-01,212386.07,Historical
2015-05-01,254075.19,Historical
2015-06-01,262498.79,Historical
2015-07-01,257390.23,Historical
2015-08-01,220233.49,Historical
2015-09-01,205619,Historical
2015-10-01,201775.2,Historical
2015-11-01,211471.9,Historical
2015-12-01,192532.35,Historical
2012-03-01,202356.19,Historical
2012-04-01,197974.13,Historical
2012-05-01,225874.99,Historical
2012-06-01,244306.9,Historical
2012-07-01,248349.57,Historical
2012-08-01,203807.06,Historical
2012-09-01,170005.22,Historical
2012-10-01,163315.64,Historical
2012-11-01,180989.64,Historical
2012-12-01,208280,Historical
2013-01-01,171060.87,Historical
2013-02-01,169849.98,Historical
2013-03-01,197201.58,Historical
2013-04-01,181399.01,Historical
2013-05-01,193149.29,Historical
2013-06-01,206907.12,Historical
2013-07-01,228880.83,Historical
2013-08-01,178224.09,Historical
2013-09-01,169593.22,Historical
2013-10-01,154727.49,Historical
2013-11-01,171374.94,Historical
2013-12-01,195417.38,Historical
2014-01-01,185923.65,Historical
2014-02-01,166759.99,Historical
2014-03-01,180643.79,Historical
2014-04-01,171234.29,Historical
2014-05-01,212120.64,Historical
2014-06-01,194594.13,Historical
2014-07-01,206404.41,Historical
2014-08-01,182498.84,Historical
2014-09-01,151730.6,Historical
2014-10-01,158107.04,Historical
2014-11-01,157067.45,Historical
2014-12-01,166098.96,Historical
2015-01-01,169284.02,Historical
2015-02-01,171747.63,Historical
2015-03-01,222839.92,Historical
2015-04-01,166985.9,Historical
2015-05-01,214494.49,Historical
2015-06-01,213005.06,Historical
2015-07-01,210402.02,Historical
2015-08-01,182766.51,Historical
2015-09-01,155882.1,Historical
2015-10-01,157842.2,Historical
2015-11-01,175645.21,Historical
2015-12-01,164333.56,Historical
2012-03-01,475858.64,Historical
2012-04-01,455172.87,Historical
2012-05-01,515910.22,Historical
2012-06-01,517785.71,Historical
2012-07-01,513709.36,Historical
2012-08-01,454094.43,Historical
2012-09-01,385513.96,Historical
2012-10-01,373013.14,Historical
2012-11-01,410648.84,Historical
2012-12-01,431027.97,Historical
2013-01-01,371894.03,Historical
2013-02-01,375228.61,Historical
2013-03-01,430880.59,Historical
2013-04-01,405658.75,Historical
2013-05-01,435237.55,Historical
2013-06-01,457680.13,Historical
2013-07-01,488063.68,Historical
2013-08-01,428274.02,Historical
2013-09-01,401523.96,Historical
2013-10-01,346478.15,Historical
2013-11-01,380669.78,Historical
2013-12-01,416060.02,Historical
2014-01-01,359026.27,Historical
2014-02-01,341926.91,Historical
2014-03-01,382463.24,Historical
2014-04-01,362250.06,Historical
2014-05-01,408453.36,Historical
2014-06-01,395359.83,Historical
2014-07-01,381757.71,Historical
2014-08-01,351067.96,Historical
2014-09-01,298508.15,Historical
2014-10-01,293551.51,Historical
2014-11-01,297740.46,Historical
2014-12-01,303085.37,Historical
2015-01-01,361643.62,Historical
2015-02-01,357283.55,Historical
2015-03-01,468742.14,Historical
2015-04-01,358137.41,Historical
2015-05-01,411059.25,Historical
2015-06-01,439485.17,Historical
2015-07-01,451325.96,Historical
2015-08-01,396634.87,Historical
2015-09-01,327567.79,Historical
2015-10-01,360891.46,Historical
2015-11-01,361396.67,Historical
2015-12-01,344848.12,Historical
2012-03-01,351314.29,Historical
2012-04-01,344233.31,Historical
2012-05-01,396175.84,Historical
2012-06-01,404824.36,Historical
2012-07-01,418893.8,Historical
2012-08-01,361556.78,Historical
2012-09-01,297365.89,Historical
2012-10-01,279635.54,Historical
2012-11-01,284384.13,Historical
2012-12-01,309950.46,Historical
2013-01-01,270768.66,Historical
2013-02-01,330098.06,Historical
2013-03-01,340981.35,Historical
2013-04-01,307931.93,Historical
2013-05-01,324411.7,Historical
2013-06-01,345943.01,Historical
2013-07-01,374599.86,Historical
2013-08-01,321760.75,Historical
2013-09-01,300572.24,Historical
2013-10-01,258089.64,Historical
2013-11-01,280673.7,Historical
2013-12-01,307692.68,Historical
2014-01-01,302704.5,Historical
2014-02-01,267627.27,Historical
2014-03-01,296335.13,Historical
2014-04-01,284130.67,Historical
2014-05-01,337918.82,Historical
2014-06-01,324281.77,Historical
2014-07-01,319098.83,Historical
2014-08-01,280685.02,Historical
2014-09-01,236106.68,Historical
2014-10-01,255142.84,Historical
2014-11-01,260643.97,Historical
2014-12-01,267498.57,Historical
2015-01-01,284544.68,Historical
2015-02-01,288146.36,Historical
2015-03-01,343391.01,Historical
2015-04-01,263418.2,Historical
2015-05-01,318642.41,Historical
2015-06-01,357794.83,Historical
2015-07-01,356988.27,Historical
2015-08-01,305666.52,Historical
2015-09-01,253211.87,Historical
2015-10-01,275999.82,Historical
2015-11-01,300912.87,Historical
2015-12-01,280750.3,Historical
2012-03-01,323592.39,Historical
2012-04-01,331004.5,Historical
2012-05-01,393555.39,Historical
2012-06-01,376871.16,Historical
2012-07-01,387193.73,Historical
2012-08-01,344458.7,Historical
2012-09-01,304741.59,Historical
2012-10-01,294939.34,Historical
2012-11-01,300016.32,Historical
2012-12-01,268729.49,Historical
2013-01-01,246175.86,Historical
2013-02-01,236870.86,Historical
2013-03-01,267461.48,Historical
2013-04-01,279268.23,Historical
2013-05-01,283089.64,Historical
2013-06-01,308934.19,Historical
2013-07-01,331134.89,Historical
2013-08-01,273419.76,Historical
2013-09-01,263746.48,Historical
2013-10-01,229814.77,Historical
2013-11-01,234813.2,Historical
2013-12-01,248595.68,Historical
2014-01-01,271270.46,Historical
2014-02-01,258905.26,Historical
2014-03-01,286540.74,Historical
2014-04-01,297436.3,Historical
2014-05-01,343168.27,Historical
2014-06-01,324060.35,Historical
2014-07-01,306772.13,Historical
2014-08-01,273859.05,Historical
2014-09-01,227042.5,Historical
2014-10-01,246346.22,Historical
2014-11-01,246711.33,Historical
2014-12-01,251351.94,Historical
2015-01-01,231707.21,Historical
2015-02-01,225045.54,Historical
2015-03-01,277986.08,Historical
2015-04-01,264910.03,Historical
2015-05-01,311237.44,Historical
2015-06-01,339455.84,Historical
2015-07-01,322494.58,Historical
2015-08-01,292586.97,Historical
2015-09-01,263997.16,Historical
2015-10-01,254269.67,Historical
2015-11-01,265148.79,Historical
2015-12-01,262196.04,Historical
2012-03-01,315808.29,Historical
2012-04-01,277424.83,Historical
2012-05-01,363849.11,Historical
2012-06-01,346381.89,Historical
2012-07-01,338764.85,Historical
2012-08-01,310326.05,Historical
2012-09-01,266309.65,Historical
2012-10-01,254621.46,Historical
2012-11-01,248735.78,Historical
2012-12-01,246252.71,Historical
2013-01-01,241208.05,Historical
2013-02-01,232387.69,Historical
2013-03-01,261947.83,Historical
2013-04-01,264669.14,Historical
2013-05-01,273548.81,Historical
2013-06-01,298704.79,Historical
2013-07-01,316678.71,Historical
2013-08-01,272481.97,Historical
2013-09-01,259846.15,Historical
2013-10-01,232280.54,Historical
2013-11-01,243149.54,Historical
2013-12-01,262661.71,Historical
2014-01-01,357243.12,Historical
2014-02-01,355933.76,Historical
2014-03-01,387395.94,Historical
2014-04-01,400034.72,Historical
2014-05-01,432519.07,Historical
2014-06-01,423905.68,Historical
2014-07-01,406622.42,Historical
2014-08-01,377244.03,Historical
2014-09-01,325072.1,Historical
2014-10-01,342263.99,Historical
2014-11-01,342971.22,Historical
2014-12-01,340098.48,Historical
2015-01-01,246183.86,Historical
2015-02-01,246952.36,Historical
2015-03-01,327074.91,Historical
2015-04-01,304647.02,Historical
2015-05-01,369627.77,Historical
2015-06-01,390658.19,Historical
2015-07-01,378296.83,Historical
2015-08-01,342869.17,Historical
2015-09-01,319184.08,Historical
2015-10-01,312978.31,Historical
2015-11-01,344469.49,Historical
